What is the weather?, The weather outside is
Is it sunny outside now?, Reply\, it is Reply1 outside
Is it raining outside now?, Reply\, it is Reply1 outside
Can I go out now?, Reply\, you can Reply1 go out now\, The weather outside is
What is the weather like?, The weather is
What is a object?, A object is 
What is an object?, An object is
What are object?, object are
What is object?, object is
What is action?, action is
What can I action?, You can action object1
What do object action?, object action object1
How to action an object?, You can action an object by
How to action a object?, You can action a object by
How to action object?, You can action object by 
How to action the object?, You can action the object by
How many object?, There are number object
How much object?, There is quantity object
How does object action?, object action by
What does object mean?, object means
How can I action?, You can action by
How can I action object?, You can action object by
How can we action object?, We can action object by
Why do object action?, object action because
Why does object action?, object action because
Why is object adjective?, object is adjective because
Why is object action?, object is action because
Why can I action?, Because you can action
Where is location?, location is at
Where do object action?, object action at
Where does object action?, objects action at
Where can I action object?, You can action object at
Where can we action object?, We can action object at
Where can you action object?, You can action object at
Who is person?, person is
Who are people?, people are
Who action object?, A person1 action object
When is event?, event is 
When do object action?, object action when 
When does object action?, object action when
When can I action?, You can action
When can I action object?, You can action object
How are you?, I am doing great\, hope you do too
How are you doing?, I am doing great\, hope you do too
What is your name?, I am called Unique
Who are you?, I am a program called Unique
Name yourself, My name is Unique
Identify yourself, I am Unique
Tell me your name, My name is Unique
Tell me who you are, I am a Natural Language Generator called Unique
Wassup, Everything cool
Hello, Hey there
How do you do?, I am doing great
How is life?, Life rocks
What are your hobbies?, I like answering non stupid questions
Who created you?, A group of ML nerds
Bye, See ya later
